id,title,main_price,off_price,off_percent,inventory,store,is_exist,extracted_at,source
315190,شکلات دوسرپیچ شیری 450 گرم باراکا,6600000,4290000,35,15,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
317677,کرانچی تندوآتشین 75گرم چی توز,1000000,700000,30,59,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
319099,اسنک موتوری خانواده 110 گرم چی توز,900000,630000,30,9,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
317683,چیپس چی پف بالشتی 75 گرم چی توز,1000000,700000,30,37,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
319111,کراکر نمکی 150 گرم,800000,560000,30,91,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
317676,کرانچی فلفلی 75گرم چی توز,1000000,700000,30,101,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
319109,پاپ کرن پنیری فیلی خانواده,1500000,1050000,30,32,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
312968,چیپس ساده متوسط 60گرم چی توز,700000,490001,30,11,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
319106,چیپس سرکه نمکی,1450000,1015000,30,148,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
319096,کراکر ماهی پنیری بزرگ 175 گرم چی توز,1500000,1050000,30,49,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316409,دستمال مرطوب کودک حاوی کالاندولای50برگی دافی,4480000,2912000,35,12,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316415,دستمال مرطوب لاک پاک کن دافی,5180000,3367000,35,19,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316418,دستمال مرطوب آرایش پاک کن دورچشم کمرباریک نینو,3880000,2716000,30,1,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
318927,دستمال مرطوب کودک حاوی کالاندولای70برگی نینو,6180000,4326000,30,10,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316416,دستمال مرطوب لاک پاک کن نینو,5180000,3626000,30,3,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316385,دستمال مرطوب نرم کننده کودک نینو,1980000,1386000,30,10,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316443,دستمال مرطوب آرایش پاک کن 27 برگ لایه بردار نینو,2380000,1666000,30,3,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316442,دستمال مرطوب آرایش پاک کن 27 برگ ضد آکنه نینو,2380000,1666000,30,7,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316390,دستمال مرطوب نرم کننده کودک دافی,1980000,1386000,30,11,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
321412,نواربهداشتی بالدار بزرگ پنبه ریز مروارید بوشهر,1290000,967500,25,88,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313641,سوسیس کوکتل 70% گوشت قرمز1ک,10250000,7175000,30,18,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315487,میناسیان کوکتل پنیر 55 درصد 500گرم,7075887,4953121,30,1,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313638,سوسیس کوکتل 55% گوشت قرمز1ک,8547000,5982900,30,5,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313642,سوسیس هات داگ 70% گوشت قرمز1ک,10250000,7175000,30,3,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315481,میناسیان ژامبون گوشت  90 200گرم,4373115,3061180,30,2,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
347181,میگو سایز40-31 منجمد 450 گرمی,10955000,8764000,20,15,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315606,میگوسایز110-91 منجمد 450 گرمی,8040000,6432000,20,8,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315995,سوسیس کوکتل مرغ 55% توری 1ک,8830444,7947400,10,6,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316003,سوسیس کوکتل دودی توری 1ک,9536545,8582891,10,3,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316008,همبرگر ممتاز 60% 500گ,5532819,4979537,10,8,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313412,پودرکرم کارامل شیوا سن ایچ,850000,510000,40,47,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313394,پودر ژله پاکتی توت سیاه 100 گرمی شیبابا,850000,510000,40,55,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313384,پودرژله طالبی شیبابا,850000,510000,40,17,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313379,پودرژله تمشک شیبابا,850000,510000,40,133,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313385,پودرژله آلبالو 100 گرم شیبابا,850000,510000,40,105,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313386,پودرژله آناناس 100 گرم شیبابا,850000,510000,40,111,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313413,پودرژله انگور 100 گرم شیوا,850000,510000,40,52,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
